BJD,Flux,Flux_unc
1711.7362919581844,152500.5,44.70535
1711.737680848098,152454.03,44.69711
1711.7390697380126,152513.77,44.6836
1711.740458627927,152547.73,44.715744
1711.7418475178406,152426.31,44.70502
1711.743236407755,152537.39,44.71939
1711.74462529767,152543.56,44.725685
1711.7460141875845,152477.14,44.692368
1711.7474030774981,152526.52,44.727825
1711.7487919674118,152439.16,44.720367
1711.750180857326,152525.89,44.708282
1711.7515697472406,152491.78,44.712543
1711.7529586371543,152517.89,44.724915
1711.7543475270686,152502.27,44.707493
1711.7557364169836,152570.23,44.71858
1711.757125306898,152538.36,44.730576
1711.758514196579,152398.58,44.692287
1711.7599030864926,152482.69,44.69668
1711.761291976407,152426.28,44.695107
1711.7626808663213,152477.25,44.708454
1711.764069756002,152354.27,44.693203
1711.765458645916,152467.53,44.680653
1711.766847535831,152552.6,44.700222
1711.768236425746,152483.45,44.700367
1711.769625315427,152632.56,44.723362
1711.7710142053406,152468.67,44.705585
1711.772403095255,152513.52,44.722797
1711.7737919849365,152487.05,44.69639
1711.77518087485,152524.84,44.722225
1711.7765697645311,152540.12,44.71715
1711.7779586544455,152444.84,44.70813
1711.7793475441276,152506.64,44.729126
1711.780736434042,152438.81,44.70939
1711.7821253237228,152425.14,44.704536
1711.7835142136373,152465.9,44.70629
1711.7849031033188,152480.72,44.716507
1711.7862919932325,152425.72,44.71588
1711.7876808829135,152469.02,44.7104
1711.7890697728278,152465.38,44.692375
1711.79045866251,152525.78,44.712143
1711.7918475524243,152475.56,44.726025
1711.7932364421051,152471.16,44.715557
1711.7946253317868,152436.92,44.705692
1711.7960142217012,152522.47,44.71241
1711.797403111382,152535.1,44.72158
1711.7987920010628,152452.75,44.706356
1711.8001808907445,152405.83,44.692493
1711.8015697806588,152415.7,44.715275
1711.8029586703403,152557.22,44.72196
1711.8043475600218,152428.47,44.70525
1711.8057364497033,152529.11,44.720203
1711.8071253396179,152531.5,44.718533
1711.8085142292987,152544.14,44.724922
1711.8099031189795,152425.73,44.71683
1711.8112920086612,152421.39,44.70406
1711.8126808983427,152399.34,44.719
1711.8140697880235,152540.28,44.7115
1711.815458677705,152461.72,44.708534
1711.8168475673872,152560.94,44.72911
1711.8182364573017,152486.6,44.730995
1711.8196253469825,152481.14,44.715954
1711.8210142366634,152457.03,44.710403
1711.8224031263449,152427.3,44.708263
1711.8237920160266,152536.81,44.72122
1711.8251809057074,152550.2,44.702785
1711.8279586850704,152411.67,44.70889
1711.8293475745197,152508.95,44.711597
1711.8307364642008,152437.9,44.69759
1711.8321253538816,152433.83,44.67033
1711.833514243563,152535.06,44.70167
1711.8349031332446,152528.67,44.711315
1711.8362920229254,152495.89,44.724434
1711.8376809126064,152373.48,44.698105
1711.8390698020557,152513.06,44.718
1711.840458691738,152467.8,44.72012
1711.841847581419,152453.7,44.715115
1711.8432364710998,152447.53,44.69695
1711.8446253607813,152526.02,44.714634
1711.84601425023,152408.25,44.678432
1711.8474031399107,152358.56,44.704975
1711.8487920295918,152470.38,44.695263
1711.8501809190404,152351.5,44.678818
1711.8515698087226,152479.38,44.688736
1711.852958698404,152544.8,44.714188
1711.854347587852,152614.62,44.688656
1711.8557364775338,152365.64,44.698578
1711.8571253672153,152359.36,44.69572
1711.8585142566633,152526.17,44.720573
1711.8599031463443,152521.19,44.712307
1711.861292035793,152394.92,44.70545
1711.8626809254745,152328.98,44.674488
1711.8640698149231,152475.62,44.69673
1711.8654587046046,152396.8,44.70225
1711.8668475940535,152390.62,44.70973
1711.868236483735,152401.22,44.698074
1711.869625373183,152486.58,44.691383
1711.8710142628638,152499.6,44.718063
1711.8724031523127,152400.56,44.67098
1711.8737920419942,152382.2,44.674843
1711.8765698208908,152479.98,44.713333
1711.877958710573,152514.1,44.70218
1711.879347600022,152447.23,44.69402
1711.8807364897027,152512.39,44.710785
1711.8821253791507,152468.56,44.694153
1711.8835142685996,152366.45,44.697952
1711.884903158281,152485.28,44.674847
1711.886292047729,152479.88,44.693375
1711.8876809371777,152397.78,44.681396
1711.889069826627,152427.12,44.689537
1711.8904587163088,152313.55,44.678787
1711.8918476057568,152484.28,44.723686
1711.8932364952047,152481.16,44.713284
1711.8946253846534,152386.16,44.68999
1711.8960142741023,152472.47,44.72049
1711.897403163783,152509.3,44.71587
1711.898792053231,152444.55,44.698696
1711.9001809426804,152454.44,44.714798
1711.902958721578,152470.6,44.729515
1711.904347611026,152434.61,44.718475
1711.9057365004746,152391.28,44.70348
1711.9071253899233,152559.66,44.676434
1711.9085142793722,152483.23,44.709248
1711.9099031688202,152434.5,44.71464
1711.9112920582681,152439.58,44.71953
1711.9126809477175,152479.17,44.709877
1711.9140698371668,152352.53,44.685986
1711.915458726615,152469.53,44.717003
1711.916847616063,152466.89,44.70803
1711.9182365055117,152354.3,44.708447
1711.9196253949606,152382.62,44.698456
1711.9210142844086,152446.95,44.711166
1711.9224031738565,152551.08,44.731617
1711.9237920633059,152499.53,44.706657
1711.9251809527552,152386.55,44.7147
1711.9265698422034,152443.78,44.69939
1711.9279587316514,152393.42,44.710278
1711.9293476208672,152487.39,44.713657
1711.930736510316,152427.28,44.70224
1711.932125399764,152488.88,44.72232
1711.933514289212,152426.02,44.707245
1711.9349031786608,152438.33,44.71159
1711.9362920678773,152411.2,44.715076
1711.9376809573262,152471.52,44.7085
1711.9390698467741,152448.4,44.711525
1711.9404587362228,152466.55,44.709732
1711.9418476254386,152519.56,44.730534
1711.9432365148866,152558.0,44.729168
1711.9446254043348,152403.86,44.713886
1711.9460142935507,152493.14,44.71618
1711.9474031829993,152377.27,44.700706
1711.948792072448,152510.52,44.73072
1711.9501809616638,152635.62,44.723343
1711.9515698511127,152474.77,44.717144
1711.9529587405614,152443.12,44.733032
1711.9543476297765,152511.88,44.720787
1711.9557365192247,152451.17,44.710655
1711.9571254084406,152505.98,44.714523
1711.9585142978892,152476.33,44.71742
1711.9599031871044,152530.23,44.728542
1711.9612920765533,152444.92,44.710045
1711.9626809657698,152529.11,44.73561
1711.9640698552184,152443.78,44.703396
1711.9654587444336,152462.48,44.707447
1711.9668476338816,152554.94,44.732197
1711.9682365230976,152495.75,44.711536
1711.9696254125463,152588.36,44.73441
1711.9710143017614,152481.6,44.708435
1711.97240319121,152416.81,44.70371
1711.9737920804266,152448.77,44.698887
1711.9751809696427,152441.52,44.68519
1711.9765698590907,152462.25,44.70209
1711.9779587483058,152508.78,44.71116
1711.9793476377547,152412.47,44.712612
1711.9807365269705,152576.08,44.733387
1711.9821254161857,152478.67,44.713943
1711.9835143056337,152562.47,44.729046
1711.9849031948502,152470.92,44.7268
1711.9862920840667,152509.88,44.72606
1711.987680973282,152600.06,44.730858
1711.98906986273,152457.52,44.706158
1711.9904587519459,152529.17,44.708862
1711.991847641162,152431.14,44.672684
1711.993236530377,152534.61,44.737892
1711.994625419825,152517.47,44.714504
1711.996014309041,152558.98,44.72538
1711.9974031982576,152443.95,44.71407
1711.9987920874735,152415.98,44.691483
1712.0001809766886,152436.66,44.708603
1712.0015698659045,152621.5,44.689873
1712.0029587553531,152653.45,44.729023
1712.0057365337836,152715.48,44.714714
1712.0071254229995,152508.02,44.70486
1712.008514312216,152584.67,44.72143
1712.009903201432,152488.16,44.720043
1712.0112920906472,152545.08,44.732285
1712.012680979863,152488.94,44.718517
1712.0140698690789,152390.12,44.69929
1712.015458758294,152408.1,44.70459
1712.0168476475094,152536.42,44.718033
1712.0182365367252,152396.61,44.69736
1712.019625425941,152467.56,44.719017
1712.021014315157,152454.3,44.714657
1712.0224032043727,152587.03,44.726383
1712.0237920935888,152473.14,44.701595
1712.0251809828046,152468.95,44.711403
