# Times (BJD) 	 Diff. Mag. 	 Diff. Mag. Err.
2459628.7305548857	-0.009251634076422268	0.005939950433057516
2459628.7313303533	-0.0020947482381422555	0.005859549911932399
2459628.7321058214	-0.0058970025285428555	0.005816088603250897
2459628.732869715	-0.010108047436203388	0.005805201227763082
2459628.7336336086	0.0065134259219552714	0.005874479466109933
2459628.7344206506	0.001257286302659712	0.005878959902751062
2459628.7351961187	-0.004512120675286765	0.005625935679396961
2459628.735971587	0.005694821129076746	0.006023584393647889
2459628.7367586284	0.006786475698160219	0.005947188771548206
2459628.7375225225	8.264353412619671e-05	0.0056077296824056915
2459628.7383095645	-0.00024773695327325566	0.005959951771121207
2459628.739073458	-0.007164155134893912	0.0060316584314339065
2459628.739848926	0.0005595364828528165	0.006020902433924591
2459628.740635968	0.00423438374023601	0.0060154622869673085
2459628.741411436	-0.007586695631491805	0.006016584677428034
2459628.742186904	-0.00903588250445657	0.006037021852861967
2459628.7429623716	-0.0006908639578208634	0.006083876074777272
2459628.7437378396	0.010424911719020661	0.006105927386116484
2459628.744513307	-0.0021276970604898887	0.006078680934560514
2459628.7452887753	0.005017606451455686	0.006103524857640603
2459628.746064243	-0.002457410091858117	0.006209665998570844
2459628.746839711	0.004023114715563006	0.0061691659073161405
2459628.747615179	0.0013316576983028194	0.0060524178835857905
2459628.7483906467	-0.005703070681343454	0.006095221608532284
2459628.7491545402	0.010428560812908938	0.00604851397403857
2459628.7499300083	-0.005245592381741998	0.006045616318887596
2459628.750705476	-0.0001075332039704634	0.005777576630201544
2459628.751480944	-0.002134888857605914	0.006117845253358314
2459628.7522564116	0.0018946241842710484	0.006099593727154884
2459628.7530318797	-0.0016931762138988845	0.00619596311025737
2459628.7538073477	0.003337529013200046	0.006333129888373074
2459628.7545828153	0.006786943800029326	0.006335018614571793
2459628.7553698574	0.0004414568700746399	0.0063301449019745985
2459628.756145325	-0.002028750853039009	0.006300804191593568
2459628.756932367	0.01089614972049957	0.006374947207453947
2459628.757707835	-0.0065995794570893156	0.006482817514034215
2459628.758471729	0.0003874042384175412	0.006260416663871736
2459628.7592471964	0.0023116298636983407	0.006328658732428932
2459628.7600226644	-0.009219043500054208	0.006254471102911299
2459628.7608097065	-0.003483204031305089	0.0063044181321485464
2459628.761585174	0.0026562408747640917	0.006482382209751534
2459628.762360642	-0.006698000123062787	0.006494869936797584
2459628.76313611	-0.009660455870368451	0.006471343282252038
2459628.763911578	0.00508982473702567	0.006444320670203289
2459628.7646754715	0.00035729579088656033	0.00642618084823516
2459628.765450939	-0.003201478541216152	0.006412655260736965
2459628.766226407	0.003421764164859386	0.006420456227578522
2459628.7670134488	-0.00868821180290271	0.006414149101970686
2459628.767788917	0.0014619523953371353	0.00638200829429171
2459628.7685643844	-0.00885190910920087	0.0063282438560949145
2459628.7693282785	-0.003397367120270045	0.006425586462965641
2459628.770103746	-0.006031697540318518	0.006370087820150692
2459628.7708792137	-0.0036425983550801297	0.006460060184281531
2459628.7716431078	0.007581398589002855	0.00644470016149582
2459628.7724301494	-0.0009226263601086685	0.0064099243143267825
2459628.7732056174	0.010744681440791302	0.006495401730288287
2459628.773969511	-0.004494819469087003	0.006553124400066294
2459628.7747449786	-0.008566445765324948	0.006592600578400093
2459628.7755204467	8.207331017717817e-05	0.00663024087649744
2459628.7762959143	0.005176296952207102	0.006651980653362924
2459628.7770713824	-0.0010371847366443794	0.00654789763163996
